draft_round,round_pick,overall_pick,trade_value
1,1,1,3000
1,2,2,2600
1,3,3,2200
1,4,4,1800
1,5,5,1700
1,6,6,1600
1,7,7,1500
1,8,8,1400
1,9,9,1350
1,10,10,1300
1,11,11,1250
1,12,12,1200
1,13,13,1150
1,14,14,1100
1,15,15,1050
1,16,16,1000
1,17,17,950
1,18,18,900
1,19,19,875
1,20,20,850
1,21,21,800
1,22,22,780
1,23,23,760
1,24,24,740
1,25,25,720
1,26,26,700
1,27,27,680
1,28,28,660
1,29,29,640
1,30,30,620
1,31,31,600
1,32,32,590
2,1,33,580
2,2,34,560
2,3,35,550
2,4,36,540
2,5,37,530
2,6,38,520
2,7,39,510
2,8,40,500
2,9,41,490
2,10,42,480
2,11,43,470
2,12,44,460
2,13,45,450
2,14,46,440
2,15,47,430
2,16,48,420
2,17,49,410
2,18,50,400
2,19,51,390
2,20,52,380
2,21,53,370
2,22,54,360
2,23,55,350
2,24,56,340
2,25,57,330
2,26,58,320
2,27,59,310
2,28,60,300
2,29,61,292
2,30,62,284
2,31,63,276
2,32,64,270
3,1,65,265
3,2,66,260
3,3,67,255
3,4,68,250
3,5,69,245
3,6,70,240
3,7,71,235
3,8,72,230
3,9,73,225
3,10,74,220
3,11,75,215
3,12,76,210
3,13,77,205
3,14,78,200
3,15,79,195
3,16,80,190
3,17,81,185
3,18,82,180
3,19,83,175
3,20,84,170
3,21,85,165
3,22,86,160
3,23,87,155
3,24,88,150
3,25,89,145
3,26,90,140
3,27,91,136
3,28,92,132
3,29,93,128
3,30,94,124
3,31,95,120
3,32,96,116
4,1,97,112
4,2,98,108
4,3,99,104
4,4,100,100
4,5,101,96
4,6,102,92
4,7,103,88
4,8,104,86
4,9,105,84
4,10,106,82
4,11,107,80
4,12,108,78
4,13,109,76
4,14,110,74
4,15,111,72
4,16,112,70
4,17,113,68
4,18,114,66
4,19,115,64
4,20,116,62
4,21,117,60
4,22,118,58
4,23,119,56
4,24,120,54
4,25,121,52
4,26,122,50
4,27,123,49
4,28,124,48
4,29,125,47
4,30,126,46
4,31,127,45
4,32,128,44
5,1,129,43
5,2,130,42
5,3,131,41
5,4,132,40
5,5,133,39.5
5,6,134,39
5,7,135,38.5
5,8,136,38
5,9,137,37.5
5,10,138,37
5,11,139,36.5
5,12,140,36
5,13,141,35.5
5,14,142,35
5,15,143,34.5
5,16,144,34
5,17,145,33.5
5,18,146,33
5,19,147,32.6
5,20,148,32.2
5,21,149,31.8
5,22,150,31.4
5,23,151,31
5,24,152,30.6
5,25,153,30.2
5,26,154,29.8
5,27,155,29.4
5,28,156,29
5,29,157,28.6
5,30,158,28.2
5,31,159,27.8
5,32,160,27.4
6,1,161,27
6,2,162,26.6
6,3,163,26.2
6,4,164,25.8
6,5,165,25.4
6,6,166,25
6,7,167,24.6
6,8,168,24.2
6,9,169,23.8
6,10,170,23.4
6,11,171,23
6,12,172,22.6
6,13,173,22.2
6,14,174,21.8
6,15,175,21.4
6,16,176,21
6,17,177,20.6
6,18,178,20.2
6,19,179,19.8
6,20,180,19.4
6,21,181,19
6,22,182,18.6
6,23,183,18.2
6,24,184,17.8
6,25,185,17.4
6,26,186,17
6,27,187,16.6
6,28,188,16.2
6,29,189,15.8
6,30,190,15.4
6,31,191,15
6,32,192,14.6
7,1,193,14.2
7,2,194,13.8
7,3,195,13.4
7,4,196,13
7,5,197,12.6
7,6,198,12.2
7,7,199,11.8
7,8,200,11.4
7,9,201,11
7,10,202,10.6
7,11,203,10.2
7,12,204,9.8
7,13,205,9.4
7,14,206,9
7,15,207,8.6
7,16,208,8.2
7,17,209,7.8
7,18,210,7.4
7,19,211,7
7,20,212,6.6
7,21,213,6.2
7,22,214,5.8
7,23,215,5.4
7,24,216,5
7,25,217,4.6
7,26,218,4.2
7,27,219,3.8
7,28,220,3.4
7,29,221,3
7,30,222,2.6
7,31,223,2.3
7,32,224,2